"Timestamp","What is the best place in Jordan Hall to get drunk?","Which 1st year is most likely to fall asleep in class?","What do the 2nd years excel at?","Which 1st year is most likely to go wild at a party?","What are the biggest impediments to research?","Most common FYP problems?","How many years does it take to finish your core classes?","What was the first years' boldest move?","Who did the best job of naming their first-born?","Who is most likely to start a question with ""sorry""?","Who is most likely to swear in lab / colloquium?","Most likely to have driven their parents crazy by asking ""why"" all the time?","What career is your PhD REALLY preparing you for?","1st year most likely to wake up in their office/lab/CNI?","What movie best represents grad school?","Which faculty member is most likely secret BFFs with Beyonce?","What is the worst thing about the beautiful Stanford campus?","Most likely to moonlight as a zombie slayer?","What is the top quote from emails sent by Roz?","What animal does Jay remind you of?","Most difficult professor to set a meeting with?","Secretly a member of a successful boy/girl band?","Most likely to replicate the prison experiment?","If our department were to make merchandise, it would be...?","Most likely to say something inappropriate to a participant?","What is the most common illicit activity in the psych department?","Which faculty member is the most likely to be mistaken for a grad student?","Most common complaint of first years?","Best faculty couple?","Most likely place for Phil Zimbardo to secretly watch you?","What R library is the best?","Herb Clark is most likely to be found…","Best dressed lab?","Who is most likely to be the next Zuckerberg?"
"2018/05/16 11:53:35 PM MDT","The FYP clinic","Craig Williams ","Stealing code from the 3rd years for FYP clinic games","Erik","Your advisor","Having data so bad you can't even p-hack it","3","Naming their own cohort","Amit (Talma)","Tyler","Lee, because the speaker ran over","R Malachai","Marrying up","Marc","Ferris Bueller's Day Off","Mike","Caterpillars","Pam","If you are looking for the perfect box to store paperwork or moving boxes, there are 10 empty Xerox boxes with lids on the 5th floor outside of the photo copier room. Please help yourself.","Honey Badger","Hazel","Dawn","Ben","Growth mindset posters/books/shirts/cups/...","Lee","Tax evasion","Hyo","Impostor syndrome","Carol & Greg","Behind the mirror in the 2nd floor bathroom","tidyverse","everywhere","Dweck Lab (i.e. Carol)","Noah Goodman"
"2018/05/17 12:00:54 AM MDT","Alone in the privacy of your own offices","Pam","Stealing code from the 3rd years for FYP clinic games","Definitely Marc","Your advisor","Having data so bad you can't even p-hack it","7","Making their own t-shirts","Noah (R Malachai)","Brian Knutson","Lee, because the speaker ran over","Tyler","Nothing","Nathan","A Series of Unfortunate Events","Anthony Wagner","Caterpillars","Pam","keys found in the ladies' bathroom","Squirrel","Jennifer","Dawn","Nathan","Growth mindset posters/books/shirts/cups/...","Jackie","","Hyo","Having FYP clinics that don't actually tell you anything about the FYP","Mike & Noah","He has eyes everywhere","What's R?","everywhere","Anthony Wagner with his bright blue frisbee shirt","Michael Henry"
"2018/05/17 12:01:25 AM MDT","FriSem (drink every time Herb asks a question)","Erik","Stealing code from the 3rd years for FYP clinic games","Erik","Life","Having data so bad you can't even p-hack it","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Choosing Stanford","Amit (Talma)","Erik","Brian Wandell","Ian E.","Marrying up","Nathan","A Series of Unfortunate Events","Carol","Separation from any kind of life","Nathan","BYOP","Honey Badger","David Starr Jordan","Cinoo","Roz","Growth mindset posters/books/shirts/cups/...","Erik","Moonshine in the 5th floor bathroom","Steven Roberts","Stats","Mike & Noah","He has eyes everywhere","tidyverse","everywhere","Dweck Lab (i.e. Carol)","Ben"
"2018/05/17 12:05:59 AM MDT","Alone in the privacy of your own offices","Tiffany","NOT being first years","Tiffany","Life","Having data so bad you can't even p-hack it","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Naming their own cohort","Noah (R Malachai)","Erik","Jay","Tyler","Marrying up","Marc","Ferris Bueller's Day Off","Carol","It's a country club in disguise","Pam","Poster printer broken","Squirrel","Jennifer","Claude Steele","Ben","Growth mindset posters/books/shirts/cups/...","Lee","Arson (starting with burning FYP)","Hyo","Being a first year","Jennifer & Hazel","He has eyes everywhere","lme4","everywhere","Poldrack Lab (i.e. Ian E.)","Michael Henry"
"2018/05/17 12:06:25 AM MDT","Alone in the privacy of your own offices","Tiffany","Life","Erik","Your advisor","Not having data","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Naming their own cohort","Noah (R Malachai)","Erik","Lee, because the speaker ran over","Tyler","The eternal postdoc","Nathan","Groundhog Day","Claude Steele","It's a country club in disguise","Danielle","THE HAND TRUCK HAS BEEN FOUND","Scarab Beetle","Jennifer","Cinoo","Dawn","Commemorative wines","Ian E.","Tax evasion","Steven Roberts","Core classes","Jennifer & Hazel","Behind the mirror in the 2nd floor bathroom","tidyverse","everywhere","Dweck Lab (i.e. Carol)","Michael Henry"
"2018/05/17 12:09:14 AM MDT","Alone in the privacy of your own offices","Danielle","Stealing code from the 3rd years for FYP clinic games","Danielle","TAing","I got 99 problems and FYP is all of them.","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Making their own t-shirts","Ali (TBD)","Erik","Ian Gotlib, because the speaker ran over","Tyler","Marrying up","Erik","Ferris Bueller's Day Off","Carol","Caterpillars","Catherine with a C","vape pen found","Honey Badger","Jennifer","Claude Steele","Roz","Zimbardo masks","Lee","Illegal textbook downloads","Steven Roberts","Being a first year","Carol & Greg","Poster in your office","tidyverse","everywhere","Dweck Lab (i.e. Carol)","Katherine with a K"
"2018/05/17 12:15:15 AM MDT","Alone in the privacy of your own offices","Dawn","Stealing code from the 3rd years for FYP clinic games","Emily Fay","The 2nd years pestering you about ""family freud"" questions","Having data so bad you can't even p-hack it","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Naming their own cohort","Yochai (Alma)","Tyler","Jay","Tyler","Marrying up","Dawn","A Series of Unfortunate Events","Carol","Looks like Taco Bell","Nathan","THE HAND TRUCK HAS BEEN FOUND","Honey Badger","David Starr Jordan","Marc","Ben","CV lines","Erik","Moonshine in the 5th floor bathroom","Hyo","Having FYP clinics that don't actually tell you anything about the FYP","Mike & Noah","Behind the mirror in the 2nd floor bathroom","ggplot2","in outer space","Poldrack Lab (i.e. Ian E.)","Ben"
"2018/05/17 12:48:24 AM MDT","FriSem (drink every time Herb asks a question)","Danielle","Life","Emily Fay","Core courses","Having data so bad you can't even p-hack it","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Choosing Stanford","Yochai (Alma)","Erik","Jay","Tyler","The eternal postdoc","Nathan","A Series of Unfortunate Events","Carol","Separation from any kind of life","Elizabeth","keys found in the ladies' bathroom","Scarab Beetle","Everyone","Nathan","Roz","Commemorative wines","Lee","Tax evasion","Hyo","Impostor syndrome","Laura & Ian","He has eyes everywhere","What's R?","everywhere","Frank Lab","Katherine with a K"
"2018/05/17 1:16:32 AM MDT","The lounge on the free wine after colloquium","Marc","Being the most stressed cohort","Danielle","365 Days of Summer (except for this year)","Having to go to a stupid clinic","WTF core committee, you were supposed to kill the cores and make this question irrelevant","Choosing Stanford","Amit (Talma)","James Gross","Brian Wandell","Ian E.","App Academy","Marc","Titanic","Laura","Caterpillars","Elizabeth","BYOP","Squirrel","David Starr Jordan","Claude Steele","Brian Nosek","Growth mindset posters/books/shirts/cups/...","Lee","P-hacking","Hyo","Stats","Mike & Noah","Poster in your office","lme4","everywhere","Frank Lab","Michael Henry"
"2018/05/17 1:44:22 AM MDT","The lounge on the free wine after colloquium","Ben","Stealing code from the 3rd years for FYP clinic games","Emily Fay","Your advisor","Having data so bad you can't even p-hack it","3","Naming their own cohort","Yochai (Alma)","Tyler","Lee, because the speaker ran over","Erik","Marrying up","Nathan","Groundhog Day","Claude Steele","Caterpillars","Catherine with a C","Unclaimed package for ...","Squirrel","Everyone","Cinoo","Dawn","CV lines","Ian E.","P-hacking","Hyo","Being a first year","Laura & Ian","... in your sleep","lme4","everywhere","Gotlib Lab","Michael Henry"
