What is the most common illicit activity in the psych department?,Tax evasion,P-hacking,stealing subject pool money,Tax evasion,Arson (starting with burning FYP),Tax evasion,Tax evasion,Moonshine in 5th floor bathroom,making copy of key to the rooftop,P-hacking,Moonshine in 5th floor bathroom,P-hacking,Tax evasion,Tax evasion,P-hacking,Moonshine in 5th floor bathroom,P-hacking,Arson (starting with burning FYP),P-hacking,Tax evasion,Free copies,P-hacking,P-hacking,Tax evasion,Illegal textbook downloads,Illegal textbook downloads,Tax evasion,P-hacking,Tax evasion,P-hacking,Tax evasion,P-hacking,Moonshine in 5th floor bathroom,Arson (starting with burning FYP)
Who has a gorilla suit in their closet?,Tessler,Carol,Tessler,Ellen,All of the above,Ellen,Carol,Carol,Kalanit,Lee Ross,Lee Ross,Noah,Lee Ross,Carol,Tessler,Carol,Lee Ross,Tessler,Carol,Tessler,"Harry, of course.",(don't know),Tessler,Tessler,Yochai,Lee Ross,Tessler,Carol,Tessler,Kalanit,Tessler,Yochai,Lee Ross,Tessler
Most common complaint of first years?,Being a first year,Being a first year,Stats,Not having any devo friends,Stats,Cost of living,Stats,Being a first year,Stats,Stats,Stats,Stats,Not having any devo friends,puberty,Stats,Not having any devo friends,Not having any devo friends,Being a first year,Not having any devo friends,Not having any devo friends,Stats,The second years (because they are so damn awesome),Being a first year,Being a first year,Stats,Cores,Stats,The second years (because they are so damn awesome),Not having any devo friends,Stats,Not having any devo friends,Not having any devo friends,The second years (because they are so damn awesome),Being a first year
What movie best represents grad school?,Revenant,Killing Them Softly,Castaway,Titanic,Space Jam,Castaway,Revenant,Castaway,Killing Them Softly,Revenant,Titanic,Titanic,Castaway,"Its a show, probably Greys Anatomy or the L Word because everyone sleeps with each other",Castaway,Castaway,Hunger Games,Killing Them Softly,Castaway,Castaway,Castaway,Titanic,Castaway,Revenant,Revenant,Any David Lynch movie,Castaway,Castaway,Revenant,Killing Them Softly,Robin Hood,Titanic,Revenant,Castaway
Most common FYP problems?,Thinking that it matters,Thinking that it matters,Not having data,I got 99 problems and FYP is all of them.,Thinking that it matters,Thinking that it matters,Thinking that it matters,I got 99 problems and FYP is all of them.,What is an FYP?,Not having data,I got 99 problems and FYP is all of them.,Not having anything written,Having to go to a stupid clinic,Thinking that it matters,Having to go to a stupid clinic,What is an FYP?,Thinking that it matters,Having to go to a stupid clinic,Thinking that it matters,I got 99 problems and FYP is all of them.,Not having data,I got 99 problems and FYP is all of them.,Thinking that it matters,Thinking that it matters,Not having anything written,Thinking that it matters,Thinking that it matters,Having to go to a stupid clinic,Thinking that it matters,What is an FYP?,Thinking that it matters,What is an FYP?,Thinking that it matters,I got 99 problems and FYP is all of them.
Most difficult professor to set a meeting with?,David Starr Jordan,David Starr Jordan,Russ,Jennifer,David Starr Jordan,David Starr Jordan,Jennifer,Everyone,David Starr Jordan,Jennifer,Jennifer,Geoff,David Starr Jordan,Who's Ann Fernald?,Everyone,Everyone,David Starr Jordan,David Starr Jordan,Anne Fernald,Jennifer,Geoff,Everyone,Phil Zimbardo,Everyone,Geoff,"Any professor, as long as it's important",Geoff,David Starr Jordan,David Starr Jordan,David Starr Jordan,Christine Heaney,Jennifer,David Starr Jordan,David Starr Jordan
"If our department were to make merchandise, it would be...?",Inspirational cat posters,Zimbardo masks,growth mindset seeds,Zimbardo masks,Self-help books,Self-help books,Zimbardo masks,Commemorative wines,Inspirational cat posters,Self-help books,Zimbardo masks,CV lines,CV lines,"What are you talking about, we already make all these",Zimbardo masks,Zimbardo masks,Zimbardo masks,Zimbardo masks,Zimbardo masks,Self-help books,Self-help books,Commemorative wines,Inspirational cat posters,Zimbardo masks,Zimbardo masks,Reproducible studies using mturk,Zimbardo masks,Zimbardo masks,Zimbardo masks,Zimbardo masks,Zimbardo masks,Zimbardo masks,Zimbardo masks,Zimbardo masks
Most likely place for Phil Zimbardo to secretly watch you?,...in your sleep,...in your sleep,from his portrait,Poster in your office,Behind mirror in the 2nd floor bathroom,Behind mirror in the 2nd floor bathroom,The 2nd floor balcony,Poster in your office,Poster in your office,Poster in your office,Behind mirror in the 2nd floor bathroom,...in your sleep,...in your sleep,I thought the first years weren't supposed to know about the 2nd floor bathroom mirror,Poster in your office,Behind mirror in the 2nd floor bathroom,Behind mirror in the 2nd floor bathroom,Poster in your office,Behind mirror in the 2nd floor bathroom,...in your sleep,In the Hall by his Portrait,Poster in your office,Poster in your office,Poster in your office,Poster in your office,Ceiling,Behind mirror in the 2nd floor bathroom,Behind mirror in the 2nd floor bathroom,Creepy basement hallway,Behind mirror in the 2nd floor bathroom,Behind mirror in the 2nd floor bathroom,Creepy basement hallway,Behind mirror in the 2nd floor bathroom,Poster in your office
Most likely to say something inappropriate to a participant?,Craig Williams,Ian E.,Ian E.,Cameron,Sophie,Craig Williams,Craig Williams,Craig Williams,Craig Williams,Cameron,Craig Williams,Cameron,Sophie,Herb,Amit,Herb Clark,Sophie,Cameron,Amit,don't ask this,Cameron,Ian E.,Craig Williams,Craig Williams,Cameron,Cameron,Cameron,Craig Williams,Craig Williams,Brian Wandell,Cameron,Amit,Amit,Amit
Most likely to be in an advertisement for soylent? ,Brad,Dan B.,Dan B.,Dan B.,Ali,Dan B.,Ali,Anyone who doesn't like food,Anyone who doesn't like food,Dan B.,Ali,Any older faculty,Anyone who doesn't like food,Michael Schwalbe,Dan B.,Ali,Dan B.,Brad,Dan B.,don't ask this,Ali,Dan B.,Ali,Dan B.,Dan B.,Anyone who doesn't like food,Dan B.,Dan B.,Anyone who doesn't like food,Dan B.,Dan B.,Ali,Ali,Ali
